"","cutoff_index","TN_ALL"
"1",0.99998045,0
"2",0.99997807,0
"3",0.9999759,0
"4",0.9999745,0
"5",0.99997437,0
"6",0.9999739,0
"7",0.9999739,0
"8",0.9999734,0
"9",0.99997115,0
"10",0.9999703,0
"11",0.99996924,0
"12",0.99996686,0
"13",0.9999666,0
"14",0.9999654,0
"15",0.9999652,0
"16",0.999962,0
"17",0.99995947,0
"18",0.99995804,0
"19",0.9999573,0
"20",0.99995625,0
"21",0.99995434,0
"22",0.9999535,0
"23",0.9999535,0
"24",0.99995244,0
"25",0.99995124,0
"26",0.99995065,0
"27",0.9999486,0
"28",0.9999485,0
"29",0.99994814,0
"30",0.999948,0
"31",0.9999473,0
"32",0.99994636,0
"33",0.9999455,0
"34",0.9999453,0
"35",0.99994445,0
"36",0.999944,0
"37",0.999944,0
"38",0.9999435,0
"39",0.99994254,0
"40",0.99994016,0
"41",0.99994004,0
"42",0.9999392,0
"43",0.99993837,0
"44",0.99993515,0
"45",0.999933,0
"46",0.9999325,0
"47",0.999931,0
"48",0.99993014,0
"49",0.9999293,0
"50",0.9999285,0
"51",0.9999274,0
"52",0.99992657,0
"53",0.9999262,0
"54",0.999926,0
"55",0.99992514,0
"56",0.99992204,0
"57",0.9999219,0
"58",0.9999219,0
"59",0.9999218,0
"60",0.9999217,0
"61",0.99992156,0
"62",0.9999207,0
"63",0.9999206,0
"64",0.9999193,0
"65",0.9999187,0
"66",0.9999182,0
"67",0.9999156,0
"68",0.9999156,0
"69",0.99991465,0
"70",0.9999143,0
"71",0.99991393,0
"72",0.99991333,0
"73",0.999908,0
"74",0.9999043,0
"75",0.99990404,0
"76",0.9999038,0
"77",0.9999013,0
"78",0.9999,0
"79",0.9999,0
"80",0.9999,0
"81",0.9999,0
"82",0.9999,0
"83",0.9999,0
"84",0.9999,0
"85",0.9999,0
"86",0.9999,0
"87",0.9999,0
"88",0.9999,0
"89",0.9999,0
"90",0.9999,0
"91",0.9999,0
"92",0.9999,0
"93",0.9999,0
"94",0.9999,0
"95",0.9999,0
"96",0.9999,0
"97",0.9999,0
